word,status,sbert_tokenization,llama_tokenization,4o-mini_word
alopecia,OOV,"al,##ope,##cia","alo,pecia",alopecia
amla,OOV,"am,##la","am,la",amla
amritsar,OOV,"am,##rit,##sar","am,rit,sar",amritsar
anagen,OOV,"ana,##gen","an,agen",anagen
anarkali,OOV,"ana,##rka,##li","an,ark,ali",anarkali
anchoring,OOV,"anchor,##ing","anch,oring",anchoring
antifungal,OOV,"anti,##fu,##nga,##l","ant,if,ungal",antifungal
appliance,OOV,"app,##lian,##ce","ap,pliance",appliance
argan,OOV,"ar,##gan","arg,an",argan
aromatherapy,OOV,"aroma,##therapy","ar,om,ather,apy",
ashiatsu,OOV,"ash,##ia,##tsu","ashi,atsu",ashiatsu
ashtanga,OOV,"ash,##tang,##a","as,ht,anga",ashtanga
asthetics,OOV,"as,##the,##tics","ast,hetics",asthetics
astringent,OOV,"as,##tri,##ngen,##t","a,string,ent",astringent
augmentation,OOV,"aug,##ment,##ation","aug,mentation",augmentation
aveda,OOV,"ave,##da","aved,a",aveda
ayurveda,OOV,"a,##yu,##r,##veda","ay,urved,a",ayurveda
ayurvedic,OOV,"a,##yu,##r,##ved,##ic","ay,urved,ic",ayurvedic
ayush,OOV,"a,##yu,##sh","ay,ush",ayush
babyshower,OOV,"baby,##sho,##wer","baby,sh,ower",shower
bachelorette,OOV,"bachelor,##ette","b,achel,oret,te",bachelorette
balayage,OOV,"bala,##ya,##ge","bal,ay,age",balayage
baldness,OOV,"bald,##ness","b,ald,ness",baldness
balinese,OOV,"bali,##nese","bal,inese",balinese
ballpoint,OOV,"ball,##point","ball,point",ballpoint
balm,OOV,"bal,##m","b,alm",balm
bangle,OOV,"bang,##le","b,angle",bangle
barbering,OOV,"barber,##ing","bar,ber,ing",barbering
barbers,OOV,"barber,##s","bar,bers",barbers
bariatric,OOV,"bari,##at,##ric","bar,iatric",bariatric
bca,OOV,"bc,##a","b,ca",
bead,OOV,"bea,##d","be,ad",bead
beaded,OOV,"bea,##ded","be,aded",beaded
beautician,OOV,"beau,##tic,##ian","be,aut,ician",beautician
beauticians,OOV,"beau,##tic,##ians","be,aut,icians",beauticians
belleza,OOV,"belle,##za","b,elle,za",belleza
bhajan,OOV,"b,##ha,##jan","bh,ajan",bhajan
bhangra,OOV,"b,##hang,##ra","b,hang,ra",bhangra
bharatanatyam,OOV,"b,##harat,##ana,##tya,##m","b,har,atan,aty,am",bharatanatyam
bhopal,OOV,"b,##hop,##al","b,hop,al",bhopal
bhubaneshwar,OOV,"b,##hu,##bane,##sh,##war","b,hub,an,esh,war",bhubaneshwar
biguine,OOV,"big,##uin,##e","big,u,ine",biguine
bilaspur,OOV,"bi,##las,##pur","bil,asp,ur",bilaspur
biopsy,OOV,"bio,##psy","bi,opsy",biopsy
biryani,OOV,"bi,##rya,##ni","b,iry,ani",biryani
blackboard,OOV,"black,##board","black,board",
blackhead,OOV,"black,##head","black,head",blackhead
bleach,OOV,"b,##lea,##ch","ble,ach",bleach
bleaching,OOV,"b,##lea,##ching","ble,aching",bleaching
blemishing,OOV,"b,##lem,##ishing","blem,ishing",blemishing
blowdry,OOV,"blow,##dry","bl,ow,dry",blowdry
blusher,OOV,"blush,##er","bl,usher",blusher
bookmark,Present,"book,##mark",bookmark,bookmark
bopp,OOV,"bop,##p","b,opp",bopp
boreh,OOV,"bore,##h","b,ore,h",boreh
botox,OOV,"bot,##ox","b,oto,x",botox
bouncer,OOV,"bounce,##r","b,ouncer",bouncer
boutiques,OOV,"boutique,##s","bout,iques",boutiques
bpo,OOV,"bp,##o","b,po",bpo
braiding,OOV,"braid,##ing","bra,iding",braiding
bridal,OOV,"br,##idal","brid,al",bridal
brightening,OOV,"bright,##ening","bright,ening",brightening
buttock,OOV,"butt,##ock","but,to,ck",buttock
c++,OOV,"c,+,+","c,++",c++
callus,OOV,"call,##us","call,us",callus
candid,OOV,"candi,##d","c,andid",candid
caramel,OOV,"cara,##mel","c,aramel",caramel
carat,OOV,"cara,##t","car,at",carat
cartilage,OOV,"cart,##ila,##ge","cart,ilage",cartilage
carton,OOV,"cart,##on","cart,on",carton
catchers,OOV,"catcher,##s","catch,ers",catchers
caterers,OOV,"cater,##ers","c,ater,ers",caterers
catridge,OOV,"cat,##ridge","cat,ridge",catridge
cautery,OOV,"ca,##uter,##y","ca,ut,ery",cautery
caviar,OOV,"ca,##via,##r","c,avi,ar",caviar
cbse,OOV,"cbs,##e","cb,se",cbse
ccc,Present,"cc,##c",ccc,
ccna,OOV,"cc,##na","cc,na",
cellulite,OOV,"cell,##uli,##te","cell,ul,ite",cellulite
chakra,OOV,"cha,##kra","ch,akra",chakra
chandigarh,OOV,"chan,##di,##garh","ch,and,igar,h",chandigarh
chaniya,OOV,"chan,##iya","ch,ani,ya",chaniya
channel-news,OOV,"channel,-,news","channel,-news",
chapra,OOV,"cha,##pr,##a","chap,ra",chapra
charisma,OOV,"char,##ism,##a","char,isma",charisma
chattar,OOV,"chat,##tar","ch,att,ar",chattar
chemists,OOV,"chemist,##s","chem,ists",chemists
chhattisgarh,OOV,"ch,##hat,##tis,##garh","ch,hatt,is,gar,h",chhattisgarh
chignon,OOV,"chi,##gnon","ch,ignon",chignon
choker,OOV,"choke,##r","ch,oker",choker
choli,OOV,"cho,##li","ch,oli",choli
choreographers,OOV,"choreographer,##s","ch,ore,ographers",choreographers
churna,OOV,"chu,##rna","ch,urn,a",churna
cibtac,OOV,"ci,##bt,##ac","c,ibt,ac",cibtac
cider,OOV,"cid,##er","c,ider",cider
cidesco,OOV,"cid,##es,##co","c,ides,co",cidesco
cinematographers,OOV,"cinematographer,##s","cin,emat,ographers",cinematographers
city),OOV,"city,)","city,)",
cleanse,OOV,"clean,##se","clean,se",cleanse
cleanser,OOV,"clean,##ser","cle,ans,er",cleanser
clipboard,Present,"clip,##board",clipboard,clipboard
cne,OOV,"cn,##e","c,ne",cne
co2,OOV,"co,##2","co,2",co2
coagulant,OOV,"coa,##gul,##ant","co,ag,ulant",coagulant
coimbatore,OOV,"co,##im,##bat,##ore","co,im,bat,ore",coimbatore
collagen,OOV,"col,##lage,##n","coll,agen",collagen
colouring,OOV,"colour,##ing","colour,ing",colouring
computerised,OOV,"computer,##ised","computer,ised",computerised
concealer,OOV,"conceal,##er","con,ce,aler",concealer
conditioner,OOV,"condition,##er","condition,er",conditioner
confectionery,OOV,"con,##fect,##ion,##ery","con,fection,ery",confectionery
conferencing,OOV,"con,##fer,##en,##cing","con,fer,encing",conferencing
constipation,OOV,"con,##sti,##pati,##on","const,ipation",constipation
contour,OOV,"con,##tour","cont,our",contour
contouring,OOV,"con,##tour,##ing","cont,our,ing",contouring
cookery,OOV,"cooke,##ry","cook,ery",cookery
corp.,OOV,"corp,.","corp,.",
cosmetologist,OOV,"co,##sm,##eto,##logist","cos,met,ologist",cosmetologist
cosmetology,OOV,"co,##sm,##eto,##logy","cos,met,ology",cosmetology
crayon,OOV,"cr,##ayo,##n","cr,ay,on",crayon
crepe,OOV,"cr,##ep,##e","cre,pe",crepe
crimping,OOV,"cr,##im,##ping","cr,imp,ing",crimping
cristalceutic,OOV,"cr,##ista,##lce,##uti,##c","c,rist,al,ce,ut,ic",cristalceutic
crockery,OOV,"cr,##ock,##ery","c,rock,ery",crockery
crossfit,OOV,"cross,##fi,##t","cross,fit",crossfit
cryolipolysis,OOV,"cry,##oli,##pol,##ysis","cry,ol,ip,ol,ysis",cryolipolysis
curler,OOV,"curl,##er","curl,er",curler
customised,OOV,"custom,##ised","custom,ised",customised
cuticle,OOV,"cut,##icle","cut,icle",cuticle
cwna,OOV,"cw,##na","c,wn,a",
cysteine,OOV,"cy,##stein,##e","c,yst,e,ine",cysteine
daan,OOV,"da,##an","da,an",daan
dandruff,OOV,"dan,##dr,##uf,##f","d,andr,uff",dandruff
dealers-4beauty,OOV,"dealers,-,4,##beau,##ty","deal,ers,-,4,be,auty",
dealers-abeers,OOV,"dealers,-,abe,##ers","deal,ers,-,abe,ers",abeers
dealers-afrin,OOV,"dealers,-,af,##rin","deal,ers,-a,fr,in",afrin
dealers-alcos,OOV,"dealers,-,al,##cos","deal,ers,-al,cos",alcos
dealers-alimco,OOV,"dealers,-,ali,##mc,##o","deal,ers,-al,im,co",alimco
dealers-allure,OOV,"dealers,-,all,##ure","deal,ers,-all,ure",allure
dealers-alpaks,OOV,"dealers,-,al,##pa,##ks","deal,ers,-al,p,aks",alpaks
dealers-amina,OOV,"dealers,-,amin,##a","deal,ers,-am,ina",amina
dealers-amrutam,OOV,"dealers,-,am,##rut,##am","deal,ers,-am,rut,am",amrutam
dealers-amway,OOV,"dealers,-,am,##way","deal,ers,-am,way",amway
dealers-ancient,OOV,"dealers,-,ancient","deal,ers,-,anc,ient",
dealers-anupam,OOV,"dealers,-,an,##up,##am","deal,ers,-an,up,am",anupam
dealers-arctic,OOV,"dealers,-,arctic","deal,ers,-ar,ctic",dealers-arctic
dealers-aroma,OOV,"dealers,-,aroma","deal,ers,-ar,oma",dealers-aroma
dealers-arrdev,OOV,"dealers,-,ar,##rde,##v","deal,ers,-,arr,dev",arrdev
dealers-artistry,OOV,"dealers,-,artist,##ry","deal,ers,-art,istry",artistry
dealers-asclepius,OOV,"dealers,-,as,##cle,##pi,##us","deal,ers,-,asc,le,pi,us",asclepius
dealers-aswini,OOV,"dealers,-,as,##win,##i","deal,ers,-as,w,ini",aswini
dealers-avon,OOV,"dealers,-,avon","deal,ers,-,av,on",
dealers-ayu,OOV,"dealers,-,a,##yu","deal,ers,-,ay,u",ayu
dealers-ayur,OOV,"dealers,-,a,##yu,##r","deal,ers,-,ay,ur",ayur
dealers-babor,OOV,"dealers,-,ba,##bor","deal,ers,-b,abor",babor
dealers-balmain,OOV,"dealers,-,bal,##main","deal,ers,-bal,main",balmain
dealers-banjara's,OOV,"dealers,-,ban,##jar,##a,',s","deal,ers,-b,anj,ara,'s",banjara's
dealers-bblunt,OOV,"dealers,-,bb,##lun,##t","deal,ers,-b,bl,unt",bblunt
dealers-beardo,OOV,"dealers,-,beard,##o","deal,ers,-be,ardo",beardo
dealers-berina,OOV,"dealers,-,be,##rina","deal,ers,-,ber,ina",berina
dealers-biotique,OOV,"dealers,-,bio,##tique","deal,ers,-b,iot,ique",biotique
dealers-birla,OOV,"dealers,-,bi,##rl,##a","deal,ers,-b,irl,a",birla
dealers-black+decker,OOV,"dealers,-,black,+,decker","deal,ers,-black,+,de,cker",dealers-black+decker
dealers-bpl,OOV,"dealers,-,bp,##l","deal,ers,-b,pl",bpl
dealers-breathe,OOV,"dealers,-,breathe","deal,ers,-b,reat,he",breathe
dealers-butterfly,OOV,"dealers,-,butterfly","deal,ers,-b,utter,fly",butterfly
dealers-cheryl's,OOV,"dealers,-,cheryl,',s","deal,ers,-ch,eryl,'s",cheryl's
dealers-cheryls,OOV,"dealers,-,cheryl,##s","deal,ers,-ch,ery,ls",cheryls
dealers-claires,OOV,"dealers,-,claire,##s","deal,ers,-cl,aires",claires
dealers-colorbar,OOV,"dealers,-,color,##bar","deal,ers,-color,bar",colorbar
dealers-cosmo,OOV,"dealers,-,co,##smo","deal,ers,-c,os,mo",cosmo
dealers-crompton,OOV,"dealers,-,cr,##omp,##ton","deal,ers,-c,rompt,on",crompton
dealers-deemark,OOV,"dealers,-,dee,##mark","deal,ers,-de,emark",deemark
dealers-divine,OOV,"dealers,-,divine","deal,ers,-div,ine",
dealers-divo,OOV,"dealers,-,di,##vo","deal,ers,-div,o",divo
dealers-dove,OOV,"dealers,-,dove","deal,ers,-d,ove",
dealers-dyson,OOV,"dealers,-,d,##yson","deal,ers,-d,y,son",dyson
dealers-elder,OOV,"dealers,-,elder","deal,ers,-,elder",
dealers-emami,OOV,"dealers,-,em,##ami","deal,ers,-em,ami",emami
dealers-eyetex,OOV,"dealers,-,eye,##te,##x","deal,ers,-,ey,et,ex",eyetex
dealers-faces,OOV,"dealers,-,faces","deal,ers,-f,aces",
dealers-falcon,OOV,"dealers,-,falcon","deal,ers,-f,alcon",
dealers-fancy,OOV,"dealers,-,fancy","deal,ers,-f,ancy",
dealers-forbes,OOV,"dealers,-,forbes","deal,ers,-for,bes",
dealers-forever,OOV,"dealers,-,forever","deal,ers,-,fore,ver",
dealers-frika,OOV,"dealers,-,fr,##ika","deal,ers,-f,rika",frika
dealers-fusion,OOV,"dealers,-,fusion","deal,ers,-f,usion",
dealers-gamecraft,OOV,"dealers,-,game,##craft","deal,ers,-game,craft",gamecraft
dealers-geetanjali,OOV,"dealers,-,gee,##tan,##jali","deal,ers,-,ge,et,anj,ali",geetanjali
dealers-gk,OOV,"dealers,-,g,##k","deal,ers,-g,k",gk
dealers-glint,OOV,"dealers,-,glint","deal,ers,-g,lint",
dealers-godrej,OOV,"dealers,-,god,##re,##j","deal,ers,-g,od,rej",godrej
dealers-hair,OOV,"dealers,-,hair","deal,ers,-h,air",
dealers-hamdard,OOV,"dealers,-,ham,##dar,##d","deal,ers,-h,amd,ard",hamdard
dealers-herbalife,OOV,"dealers,-,herbal,##ife","deal,ers,-,her,bal,ife",herbalife
dealers-hicks,OOV,"dealers,-,hicks","deal,ers,-h,icks",hicks
dealers-himalaya,OOV,"dealers,-,him,##ala,##ya","deal,ers,-h,imal,aya",himalaya
dealers-hudabeauty,OOV,"dealers,-,hu,##da,##beau,##ty","deal,ers,-h,ud,abe,auty",
dealers-if,OOV,"dealers,-,if","deal,ers,-if",
dealers-inglot,OOV,"dealers,-,ing,##lot","deal,ers,-ing,lot",inglot
dealers-jiva,OOV,"dealers,-,ji,##va","deal,ers,-j,iva",
dealers-johnson,OOV,"dealers,-,johnson","deal,ers,-j,ohn,son",
dealers-joker,OOV,"dealers,-,joker","deal,ers,-j,oker",
dealers-kailash,OOV,"dealers,-,kai,##lash","deal,ers,-k,ail,ash",
dealers-kama,OOV,"dealers,-,kam,##a","deal,ers,-k,ama",kama
dealers-kaya,OOV,"dealers,-,kay,##a","deal,ers,-k,aya",
dealers-kelvinator,OOV,"dealers,-,kelvin,##ator","deal,ers,-k,el,vin,ator",kelvinator
dealers-kenstar,OOV,"dealers,-,ken,##star","deal,ers,-,ken,star",kenstar
dealers-kenwood,OOV,"dealers,-,ken,##wood","deal,ers,-,ken,wood",kenwood
dealers-kerastase,OOV,"dealers,-,ke,##ras,##tase","deal,ers,-,ker,ast,ase",kerastase
dealers-khadi,OOV,"dealers,-,k,##had,##i","deal,ers,-k,h,adi",khadi
dealers-kryolan,OOV,"dealers,-,k,##ry,##ola,##n","deal,ers,-k,ry,olan",kryolan
dealers-l'oreal,OOV,"dealers,-,l,',ore,##al","deal,ers,-l,',oreal",l'oreal
dealers-la'decus,OOV,"dealers,-,la,',dec,##us","deal,ers,-la,'d,ec,us",la'decus
dealers-lakme,OOV,"dealers,-,la,##km,##e","deal,ers,-l,ak,me",lakme
dealers-lee's,OOV,"dealers,-,lee,',s","deal,ers,-,lee,'s",lee's
dealers-loreal,OOV,"dealers,-,lore,##al","deal,ers,-lo,real",loreal
dealers-lotus,OOV,"dealers,-,lotus","deal,ers,-l,ot,us",
dealers-lush,OOV,"dealers,-,lush","deal,ers,-l,ush",
dealers-mac,OOV,"dealers,-,mac","deal,ers,-m,ac",
dealers-majik,OOV,"dealers,-,maj,##ik","deal,ers,-m,aj,ik",
dealers-make,OOV,"dealers,-,make","deal,ers,-make",
dealers-makeup,OOV,"dealers,-,makeup","deal,ers,-m,akeup",
dealers-manic,OOV,"dealers,-,mani,##c","deal,ers,-man,ic",
dealers-mannu's,OOV,"dealers,-,mann,##u,',s","deal,ers,-m,ann,u,'s",
dealers-mansa,OOV,"dealers,-,mans,##a","deal,ers,-m,ansa",
dealers-matrix,OOV,"dealers,-,matrix","deal,ers,-m,atrix",
dealers-maybelline,OOV,"dealers,-,maybe,##llin,##e","deal,ers,-m,ay,bell,ine",
dealers-meghdoot,OOV,"dealers,-,meg,##hd,##oot","deal,ers,-m,eg,hd,oot",
dealers-modicare,OOV,"dealers,-,mod,##ica,##re","deal,ers,-mod,icare",
dealers-moroccanoil,OOV,"dealers,-,moroccan,##oi,##l","deal,ers,-m,or,oc,cano,il",moroccanoil
dealers-myglam,OOV,"dealers,-,my,##gl,##am","deal,ers,-my,gl,am",myglam
dealers-nars,OOV,"dealers,-,na,##rs","deal,ers,-n,ars",
dealers-neckline,OOV,"dealers,-,neck,##line","deal,ers,-neck,line",neckline
dealers-neha,OOV,"dealers,-,ne,##ha","deal,ers,-ne,ha",
dealers-neutrogena,OOV,"dealers,-,ne,##ut,##rogen,##a","deal,ers,-ne,ut,rogen,a",neutrogena
dealers-nibr,OOV,"dealers,-,ni,##br","deal,ers,-n,ibr",
dealers-nikhar,OOV,"dealers,-,nik,##har","deal,ers,-n,ik,har",nikhar
dealers-nish,OOV,"dealers,-,ni,##sh","deal,ers,-n,ish",
dealers-nutrilite,OOV,"dealers,-,nut,##ril,##ite","deal,ers,-n,ut,ril,ite",nutrilite
dealers-nykaa,OOV,"dealers,-,ny,##ka,##a","deal,ers,-,ny,ka,a",nykaa
dealers-olay,OOV,"dealers,-,ol,##ay","deal,ers,-,ol,ay",olay
dealers-olifair,OOV,"dealers,-,ol,##if,##air","deal,ers,-,ol,if,air",dealers-olifair
dealers-onida,OOV,"dealers,-,on,##ida","deal,ers,-on,ida",onida
dealers-only,OOV,"dealers,-,only","deal,ers,-only",
dealers-organic,OOV,"dealers,-,organic","deal,ers,-,organic",
dealers-oriflame,OOV,"dealers,-,or,##if,##lam,##e","deal,ers,-or,if,l,ame",oriflame
dealers-patanjali,OOV,"dealers,-,pat,##an,##jali","deal,ers,-p,atan,j,ali",patanjali
dealers-philips,OOV,"dealers,-,philips","deal,ers,-,phil,ips",
dealers-picasso,OOV,"dealers,-,picasso","deal,ers,-pic,asso",picasso
dealers-pilot,OOV,"dealers,-,pilot","deal,ers,-p,ilot",pilot
dealers-pjk,OOV,"dealers,-,p,##jk","deal,ers,-p,jk",
dealers-polar,OOV,"dealers,-,polar","deal,ers,-p,olar",polar
dealers-pond's,OOV,"dealers,-,pond,',s","deal,ers,-,pond,'s",pond's
dealers-prem,OOV,"dealers,-,prem","deal,ers,-pre,m",prem
dealers-prestige,OOV,"dealers,-,prestige","deal,ers,-pre,st,ige",prestige
dealers-proactiv,OOV,"dealers,-,pro,##act,##iv","deal,ers,-pro,activ",proactiv
dealers-professional,OOV,"dealers,-,professional","deal,ers,-prof,essional",
dealers-raaga,OOV,"dealers,-,ra,##aga","deal,ers,-ra,aga",raaga
dealers-rainbow,OOV,"dealers,-,rainbow","deal,ers,-r,ain,bow",
dealers-revlon,OOV,"dealers,-,rev,##lon","deal,ers,-re,v,lon",revlon
dealers-ridhi,OOV,"dealers,-,rid,##hi","deal,ers,-,rid,hi",
dealers-ritzkart,OOV,"dealers,-,ri,##tz,##kar,##t","deal,ers,-,rit,zk,art",
dealers-rubans,OOV,"dealers,-,rub,##ans","deal,ers,-r,ub,ans",
dealers-salon,OOV,"dealers,-,salon","deal,ers,-s,alon",
dealers-salonlabs,OOV,"dealers,-,salon,##lab,##s","deal,ers,-s,alon,labs",salonlabs
dealers-samsung,OOV,"dealers,-,samsung","deal,ers,-s,amsung",
dealers-sanjeevani,OOV,"dealers,-,san,##jee,##vani","deal,ers,-san,jee,v,ani",sanjeevani
dealers-sephora,OOV,"dealers,-,sep,##hora","deal,ers,-se,ph,ora",
dealers-shahnaz,OOV,"dealers,-,shah,##na,##z","deal,ers,-sh,ahn,az",
dealers-shama,OOV,"dealers,-,sham,##a","deal,ers,-sh,ama",
dealers-sharon,OOV,"dealers,-,sharon","deal,ers,-sh,aron",
dealers-soondar,OOV,"dealers,-,soon,##dar","deal,ers,-so,ond,ar",
dealers-soul,OOV,"dealers,-,soul","deal,ers,-s,oul",
dealers-swati,OOV,"dealers,-,swat,##i","deal,ers,-sw,ati",
dealers-tally,OOV,"dealers,-,tally","deal,ers,-t,ally",
dealers-thalgo,OOV,"dealers,-,tha,##l,##go","deal,ers,-th,algo",thalgo
dealers-the,OOV,"dealers,-,the","deal,ers,-the",
dealers-tigi,OOV,"dealers,-,ti,##gi","deal,ers,-t,igi",
dealers-tips,OOV,"dealers,-,tips","deal,ers,-t,ips",
dealers-trichup,OOV,"dealers,-,tri,##chu,##p","deal,ers,-tr,ich,up",trichup
dealers-tvam,OOV,"dealers,-,tv,##am","deal,ers,-t,v,am",
dealers-ultra,OOV,"dealers,-,ultra","deal,ers,-ul,tra",ultra
dealers-vagad's,OOV,"dealers,-,va,##ga,##d,',s","deal,ers,-v,ag,ad,'s",vagad's
dealers-vcare,OOV,"dealers,-,vc,##are","deal,ers,-,vc,are",
dealers-vega,OOV,"dealers,-,vega","deal,ers,-,ve,ga",dealers-vega
dealers-vi,OOV,"dealers,-,vi","deal,ers,-v,i",
dealers-videocon,OOV,"dealers,-,video,##con","deal,ers,-video,con",videocon
dealers-vlcc,OOV,"dealers,-,v,##lc,##c","deal,ers,-v,l,cc",vlcc
dealers-voltas,OOV,"dealers,-,volta,##s","deal,ers,-v,olt,as",voltas
dealers-wanna,OOV,"dealers,-,wanna","deal,ers,-w,anna",
dealers-wella,OOV,"dealers,-,well,##a","deal,ers,-w,ella",wella
dealers-whirlpool,OOV,"dealers,-,w,##hir,##lp,##ool","deal,ers,-wh,irl,pool",whirlpool
dealers-wigy,OOV,"dealers,-,wig,##y","deal,ers,-w,igy",wigy
dealers-xcoser,OOV,"dealers,-,x,##cos,##er","deal,ers,-x,cos,er",xcoser
dealers-yukay,OOV,"dealers,-,yu,##ka,##y","deal,ers,-y,uk,ay",
dealers-zeba,OOV,"dealers,-,ze,##ba","deal,ers,-,ze,ba",
decorators,Present,"decor,##ators",decorators,decorators
dentists,OOV,"dentist,##s","dent,ists",
deodorant,OOV,"de,##od,##oran,##t","de,odor,ant",deodorant
dermal,OOV,"der,##mal","der,mal",dermal
dermalogica,OOV,"der,##mal,##og,##ica","der,mal,og,ica",dermalogica
dermaroller,OOV,"der,##mar,##oll,##er","der,mar,oller",dermaroller
dermatologists,OOV,"der,##mat,##ologists","der,mat,ologists",dermatologists
dermatology,OOV,"der,##mat,##ology","der,mat,ology",dermatology
dermatopathologist,OOV,"der,##mat,##opa,##th,##ologist","der,mat,opath,ologist",dermatopathologist
dermatosurgeons,OOV,"der,##mat,##os,##urg,##eon,##s","der,mat,os,urge,ons",dermatosurgeons
dermatovenereologists,OOV,"der,##mat,##oven,##ere,##ologists","der,mat,oven,ere,ologists",dermatovenereologists
detangling,OOV,"det,##ang,##ling","det,angling",detangling
detox,OOV,"det,##ox","det,ox",detox
detoxification,OOV,"det,##ox,##ification","det,ox,ification",detoxification
detoxifying,OOV,"det,##ox,##ifying","det,ox,ifying",detoxifying
dhoti,OOV,"dh,##ot,##i","d,hot,i",dhoti
diabetic,OOV,"dia,##bet,##ic","di,abetic",diabetic
diabetologist,OOV,"dia,##bet,##ologist","di,abet,ologist",diabetologist
dietetics,OOV,"diet,##etic,##s","diet,etics",dietetics
dietitians,OOV,"diet,##itia,##ns","diet,it,ians",dietitians
digestive,OOV,"digest,##ive","digest,ive",digestive
dimple,OOV,"dim,##ple","d,imple",dimple
diode,OOV,"di,##ode","di,ode",diode
dispenser,OOV,"di,##sp,##ense,##r","disp,enser",dispenser
disposable,OOV,"di,##sp,##osa,##ble","dis,posable",disposable
distributors-amway,OOV,"distributors,-,am,##way","d,istrib,utors,-am,way",amway
distributors-babor,OOV,"distributors,-,ba,##bor","d,istrib,utors,-b,abor",babor
distributors-bodycraft,OOV,"distributors,-,body,##craft","d,istrib,utors,-body,craft",
distributors-loreal,OOV,"distributors,-,lore,##al","d,istrib,utors,-lo,real",loreal
distributors-oligodermie,OOV,"distributors,-,ol,##igo,##der,##mie","d,istrib,utors,-,ol,ig,od,erm,ie",oligodermie
distributors-oriflame,OOV,"distributors,-,or,##if,##lam,##e","d,istrib,utors,-or,if,l,ame",oriflame
distributors-phytomer,OOV,"distributors,-,ph,##yt,##ome,##r","d,istrib,utors,-,phy,t,omer",
distributors-remy,OOV,"distributors,-,remy","d,istrib,utors,-,rem,y",
diwali,OOV,"di,##wal,##i","di,w,ali",diwali
doli,OOV,"do,##li","d,oli",doli
dosh,OOV,"dos,##h","d,osh",
dosha,OOV,"dos,##ha","dos,ha",dosha
drapers,OOV,"draper,##s","dr,apers",drapers
draping,OOV,"dr,##ap,##ing","dr,aping",draping
drapping,OOV,"dr,##app,##ing","dr,apping",
dreadlock,OOV,"dread,##lock","d,read,lock",dreadlock
dryer,OOV,"dry,##er","dry,er",dryer
dryness,OOV,"dry,##ness","dry,ness",dryness
dtp,OOV,"dt,##p","d,tp",
dulhan,OOV,"du,##l,##han","d,ul,han",dulhan
dyeing,OOV,"dye,##ing","d,ye,ing",dyeing
earring,OOV,"ear,##ring","ear,ring",earring
eczema,OOV,"ec,##ze,##ma","ecz,ema",eczema
elastin,OOV,"el,##ast,##in","el,ast,in",elastin
electrocauterization,OOV,"electro,##ca,##uter,##ization","elect,ro,ca,uter,ization",electrocauterization
electrocautery,OOV,"electro,##ca,##uter,##y","elect,ro,ca,ut,ery",electrocautery
electrolysis,OOV,"electro,##lysis","elect,ro,ly,sis",electrolysis
embossed,OOV,"em,##bos,##sed","emb,ossed",embossed
employers),OOV,"employers,)","employ,ers,)",
endocrinologists,OOV,"end,##oc,##rino,##logists","end,ocrin,ologists",endocrinologists
energising,OOV,"en,##er,##gis,##ing","ener,g,ising",energising
enhancer,OOV,"enhance,##r","enh,ancer",enhancer
enlargement,OOV,"en,##lar,##gement","en,larg,ement",enlargement
enrich,OOV,"en,##rich","en,rich",enrich
ent,Present,"en,##t",ent,
